id,name,birthdate,birthplace,deathdate,deathplace,occupations,notes,sex,viaf_id
14957,Alberto M. Browne,,,,,1391,,Male,
13894,Alberto Mario Salas,1905-03-29,62,1995-02-18,62,"1391,1420,1446,1451",,Male,67791729
14669,Alberto Moravia (Alberto Pincherle),1907-11-28,356,1990-09-26,356,"1407,1419",,Male,7394594
14292,Alberto Ollivier,1915-05-01,318,1964-07-18,318,1451,,Male,68615816
15746,Alberto Palcos,1894-03-22,395,1966-01-01,217,"1391,1420",,Male,Alberto Palcos
14264,Alberto Prebisch (Horacio Linares),1899-02-01,62,1970-10-13,62,1436,"also known as ""Horacio Linares""",Male,96554966
13775,Alberto Sartoris,1901-02-02,440,1998-03-08,335,1436,,Male,117576649
14794,Alberto Wagner de Reyna,1915-06-07,229,2006-08-09,318,"1391,1404,1410,1414,1427",,Male,19690150
15241,Albino A. Gómez,1928-09-23,62,,,1419,,Male,7617710
13798,Alcides Arguedas,1879-07-15,216,1946-05-06,92,"1391,1451",,Male,17262962
15214,Alcides de Gasperi,1881-04-03,1150,1954-08-19,1151,1510,,Male,32011324
15716,Alcides Greca,1889-02-13,395,1956-04-16,358,"1391,1420,1427,1572,1665",,Male,67857461
15655,Aldo Luis Persano,1929-01-01,62,,,"1448,1521",,Male,73634521
15620,Aldo Palazzeschi (Aldo Giurlani),1885-02-02,853,1974-08-17,356,"1392,1399,1407,1419",,Male,46787155
13642,Aldous Huxley,1894-07-26,156,1963-11-22,238,"1391,1407,1410",,Male,71392434
14137,Alejandra de Kent,1936-12-25,40,,547,1391,,Female,186930560
13890,Alejandra Pizarnik,1936-04-29,27,1972-09-25,62,1399,,Female,17233961
14930,Alejandro Bonome,1915-01-29,993,1995-01-06,62,"1405,1564",,Male,
15005,Alejandro Carrión,1915-03-11,1033,1992-01-04,342,"1399,1407,1419",,Male,54174974
14699,Alejandro Denis Krause,1913-01-01,62,1969-01-01,217,"1391,1419,1439",,Male,
14725,Alejandro Lora Risco,1918-01-01,884,2001-01-01,401,"1391,1392,1405",,Male,2609460
15001,Alejo Carpentier,1904-12-26,221,1980-04-24,318,"1392,1407,1524",CUBAN,Male,105310694
14475,Aleksandr Afanasiev,1826-07-11,700,1871-10-05,278,"1391,1409,1419,1451,1523,1587",,Male,64000655
14778,Aleksei Remizov,1877-06-24,278,1957-11-26,318,1391,,Male,51953667
15628,Alexander Augustine Parker,1908-02-28,271,1989-11-23,1367,"1420,1448,1458,1460",,Male,90012035
14940,Alexander Brady,1896-01-01,999,1960-01-01,,"1420,1453",,Male,24972069
15233,Alexander Gottfried Gode von Aesch,1906-10-30,601,1970-08-10,1165,"1404,1456",,Male,74074414
14996,Alexander James Carlyle,1861-07-24,673,1943-05-27,313,"1420,1451,1503",,Male,20432382
14052,Alexander Lernet-Holenia,1897-10-21,469,1976-07-03,469,"1391,1399,1401,1407",,Male,31999281
14549,Alexander Mitscherlich,1908-09-20,283,1982-06-26,147,1413,,Male,108352434
14358,Alexander von Wuthenau,1900-08-01,128,1994-01-01,,"1446,1449,1463",,Male,30053241
14057,Alexandre Arnoux,1884-02-27,123,1973-01-05,318,1418,,Male,6650
14596,Alexandre Astruc,1923-07-13,318,2016-05-19,318,"1479,1521",,Male,84961176
14464,Alexandre Dumas,1802-07-24,687,1870-12-05,688,"1391,1400",,Male,51688902
15809,Alexandre Marc,1904-01-19,305,2000-02-22,463,"1391,1410",,Male,45108960
15508,Alexis Roland-Manuel,1891-03-22,318,1966-11-01,318,"1411,1439",,Male,9852947
15760,Alfonsina Storni,1892-05-29,1404,1938-10-25,252,1399,,Female,90658830
14690,Alfonso Bulnes,1885-01-01,401,1970-01-19,401,1391,,Male,224120616
13957,Alfonso Cravioto,1884-01-24,314,1955-09-11,261,"1399,1414,1416",,Male,72798864
15052,Alfonso Crespo Rodas,1916-01-23,216,2011-08-30,152,"1390,1391,1414,1422",,Male,309738838
15724,Alfonso de Laferrère,1893-11-24,62,1978-01-08,62,"1391,1416,1427",,Male,38554260
15215,Alfonso Gatto,1909-07-17,1152,1976-03-08,1153,"1399,1400",,Male,32036388
13635,Alfonso Reyes,1889-05-17,270,1959-12-27,261,"1391,1393,1398",,Male,29555218
15796,Alfred Adler,1870-02-07,469,1937-05-28,1,"1466,1599,1672",,Male,17264826
14418,"Alfred Bertram Guthrie, Jr.",1901-01-13,656,1991-04-26,657,"1391,1407,1418,1451",,Male,109374827
15098,Alfred Döblin,1878-08-10,754,1957-06-26,1089,"1392,1407,1466",,Male,51688166
14641,Alfred Edward Housman,1859-03-26,833,1936-04-30,74,"1399,1448",,Male,49249069
15140,Alfred Fabre-Luce,1899-05-16,318,1983-05-17,318,"1391,1419",,Male,14764619
14874,"Alfred Hamilton Barr, Jr.",1902-01-28,956,1981-08-15,957,"1390,1528",First director of MoMA in NYC,Male,109252853
15363,Alfred Jarry,1873-09-08,1240,1907-11-01,318,1391,,Male,66469054
15386,Alfred Kazin,1915-06-05,1256,1998-06-05,1257,"1391,1409",,Male,108771008
15468,Alfred Loisy,1857-02-28,146,1940-06-01,1302,"1420,1439,1503,1504",,Male,54145857789923020432
13694,Alfred Métraux,1902-11-05,221,1963-04-12,456,"1447,1449,1450",,Male,2474265
14835,Alfredo Andrés Jacquet,1921-01-01,25,,,1391,,Male,13918215
14910,Alfredo Bigatti,1898-07-19,62,1964-03-25,,"1441,1564",,Male,261090944
13967,Alfredo Cahn,1905-03-16,496,1905-05-28,62,"1404,1420,1527",,Male,72405782
15046,Alfredo Coviello,1898-04-25,62,1944-07-13,,"1410,1419,1607",,Male,19577007
14224,Alfredo de la Guardia,1905-03-13,247,1905-05-27,62,"1391,1396,1439",,Male,9788592
13639,Alfredo González Garaño,1886-03-02,62,1905-05-22,62,"1393,1397,1404,1405",,Male,30962511
14760,Alfredo J. Weiss,1914-01-13,338,1958-01-20,22,"1391,1404",,Male,38342344
15617,Alfredo L. Palacios,1878-08-10,62,1965-04-20,62,1416,,Male,23020683
13906,Alfredo Martínez de Hoz,1925-08-13,62,2013-03-16,62,"1517,1518",,Male,2530415
15514,Alfredo Martínez Howard,1910-09-23,317,1968-08-26,110,1399,,Male,88470179
15817,Alfredo Mendizábal,1897-04-02,494,1981-04-05,563,"1391,1404",,Male,291608830
13901,Alfredo Orgaz,1900-11-06,110,1984-08-11,110,"1489,1514",,Male,239058696
13945,Alfredo Pareja Díez-Canseco,1908-10-12,168,1993-05-01,342,"1392,1407,1414,1419,1451",,Male,79061805
15669,Alfredo Pippig,,22,,,"1391,1407,1417",,Male,22037264
13971,Alfredo R. Bufano,1895-08-21,19,1950-10-31,393,1399,,Male,3861448
14378,Alfredo Terzaga,1920-03-13,618,1974-07-29,110,"1391,1392,1404,1409,1419,1420,1433,1451",,Male,93181268
14535,Alicia B. Gómez,,,,,1404,,Female,
15004,Alicia Dora Carrera,,22,,,1420,,Female,
14505,Alicia Jurado,1922-05-22,62,2011-05-09,62,"1391,1404",,Female,99150208
13712,Allen Haden,1908-06-02,764,1983-06-02,116,1419,US,Male,
14592,Alonso Zamora Vicente,1916-02-01,247,2006-03-14,574,"1391,1420,1439,1616,1617",,Male,79047512
14133,Álvaro Alsogaray,1913-06-22,138,2005-04-01,62,"1416,1553",,Male,197240782
14376,Álvaro Fernández Suárez,1906-12-21,615,1990-08-21,247,"1391,1453",,Male,107021087
13781,Alvaro Guillot Muñoz,1897-09-27,271,1971-01-01,547,"1391,1399",,Male,97873345
15733,Alvaro Melián Lafinur,1891-05-16,62,1958-12-14,62,"1399,1439",,Male,98470274
13671,Amado Alonso,1896-09-13,500,1952-05-26,23,"1409,1426",,Male,32110832
15774,Amado Villar,1899-01-25,423,1954-11-18,62,1399,Su obra aparece dentro de la _Antología poética argentina_,Male,24388811
15262,Amaro Villanueva,1900-09-13,165,1969-08-05,62,"1391,1392,1399,1400",,Male,160035107
15815,Amedeo Modigliani,1884-07-12,1046,1920-01-24,1187,"1441,1564",,Male,17232808
14908,Amelia Biagioni,1916-01-01,978,2000-01-01,,"1391,1399,1420",,Female,310549639
14022,Américo Castro,1885-05-04,79,1975-07-25,231,"1409,1426,1451",,Male,41855030
15501,Amita Malik,1921-01-01,1315,2009-02-20,1316,"1521,1653",,Female,63643092
13879,Ana Gándara,1924-01-01,62,1999-05-26,62,"1399,1400",http://www.lanacion.com.ar/139801-ana-gandara,Female,75347052
14288,Ana M. Berry,,,,,,,,
13704,Ana María Barrenechea,1913-03-06,62,2010-10-04,62,"1391,1409,1420,1429,1456",,Female,90721152
15597,Ana O'Neill,,,,,1404,,Female,
14834,Ando Ichiro,1907-01-01,937,1972-01-01,,"1399,1404,1409,1420,1448",,Male,21717782
14286,André Bretón,1896-02-19,571,1966-09-28,318,"1391,1399",,Male,49222341
15065,André Chéradame,1871-08-06,1068,1948-10-15,1068,"1419,1448",,Male,32100599
15048,André Coyné,1891-02-10,318,1960-07-21,295,1484,,Male,19711810
14579,Andre Eckardt,1884-09-21,283,1974-01-03,788,"1391,1400",,Male,113423029
14285,André Gide,1869-11-22,318,1951-02-19,318,1400,,Male,96973963
15459,André Lhote,1885-07-05,49,1962-01-24,318,"1391,1405,1429",,Male,71528345
13678,André Malraux,1901-11-03,318,1976-11-23,114,"1407,1434,1435",,Male,51692748
14247,André Maurois,1885-07-26,562,1967-10-09,295,1400,,Male,64009119
14437,André Pieyre de Mandiargues,1909-03-14,318,1991-12-13,146,1391,,Male,108228000
13741,André Rolland de Renéville,1903-07-08,443,1905-05-15,318,"1392,1399",,Male,44316558
15821,André Schaeffner,1895-02-07,318,1980-08-11,318,"1524,1587",,Male,49231373
14630,André Suarès,1868-06-12,253,1948-09-07,826,"1399,1439",,Male,49232044
15804,André Thérive (Roger Puthoste),1891-06-19,1430,1967-06-04,318,"1400,1409,1419",,Male,64107382
14444,Andrei Donatovich Sinyavsky (Abraham Terz),1925-10-08,278,1997-02-25,318,"1391,1394,1420,1455,1530,1602","Andrei Donatovich Sinyavsky wrote under the pen name ""Abraham Ter(t)z"")",Male,88373684
14886,Andrés Bello,1781-11-29,80,1865-10-15,401,"1391,1410,1414,1415,1426,1492",,Male,22152206
15160,Andrés Fidalgo,1919-01-01,62,2008-01-01,875,1391,,Male,309781735
14065,Andrés L. Caro,1898-01-01,62,,547,1399,,Male,18912679
15010,Ángel A. Castellán,1921-05-18,62,1995-03-17,22,"1420,1451",,Male,44332295
15676,Ángel Acuña,1882-04-17,387,1957-01-01,,"1416,1427,1451,1572",,Male,63027329
14931,Ángel Bonomini,1929-10-13,62,1994-05-13,,"1391,1399",,Male,31067801
14977,Ángel Cabrera,1879-02-19,247,1960-07-07,217,"1391,1600,1627",,Male,15014123
15153,Ángel Ferrant,1891-01-01,247,1961-01-01,247,1441,,Male,8290606
15169,Ángel Flores,1900-10-02,1126,1992-01-03,163,"1394,1404,1409,1420,1429,1460",,Male,98522831
15289,Ángel Guido,1896-09-29,358,1960-05-29,358,"1391,1436,1484",,Male,96097463
13763,Angel J. Battistessa,1902-08-17,62,1993-10-26,199,"1404,1420,1426",,Male,19709928
15523,Ángel Mazzei,1920-01-09,22,1997-07-03,22,1420,,Male,174151352104252602858
15607,Ángel Ossorio y Gallardo,1873-06-20,247,1946-05-19,62,"1416,1427,1510",,Male,45243269
14751,Ángel Rosemblat,1902-12-09,891,1984-09-11,80,"1392,1426,1458",,Male,
13769,Angel Vassallo,1902-05-16,398,1978-08-23,62,1410,,Male,46907736
13719,Angélica Mendoza,1889-11-22,256,1960-02-05,256,"1410,1449",,Female,245729534
14069,Angélica Ocampo,1891-12-19,62,1980-01-17,62,1391,Vitoria Ocampo's sister,Female,36205505
15075,Angus Davidson,1898-01-01,782,1980-01-01,,"1391,1394,1404,1422",Worked as an assistant at the Hogarth Press.,Male,53480876
15265,Aníbal C. Goñi,,,,,"1391,1400,1404",,Male,103535533
14572,Aníbal Leal,,,,,1404,,Male,
15491,Aníbal Machado,1894-12-09,1310,1964-01-20,353,1391,,Male,36996715
13913,Aníbal Ruiz Moreno,1905-03-21,110,1905-05-13,62,"1420,1490",,Male,
14294,Aníbal Sánchez Reulet,1910-04-13,572,1997-07-26,573,1410,,Male,302178751
14047,Anita Loos,1889-04-26,420,1981-08-18,299,"1407,1418,1495",,Female,56711909
14090,Anna de Noailles,1876-11-15,318,1933-04-30,318,1391,,Female,95303465
15384,Anna Kavan (Helen Ferguson),1901-04-10,77,1968-12-05,197,"1405,1407,1417",,Female,59084394
15318,Anne Hébert,1916-08-01,1147,2000-01-22,274,"1399,1400",,Female,66468501
14605,Anne-Marie Bon,,146,,,1391,,Female,27203323
14341,Anonymous,,,,,,,,
14446,Ansgar Klein,1926-03-25,44,1974-10-19,62,"1391,1404,1410,1420",,Male,
14902,Anthony Berkeley,1893-07-05,972,1971-03-09,235,1391,,Male,267374080
14569,Anthony Creighton,1922-01-01,759,2005-03-22,235,"1391,1400,1473",,Male,44806975
14455,Antoine Augustin Calmet,1672-02-26,681,1757-10-25,682,"1391,1604",,Male,24619702
14606,Antoine Bon,1901-10-24,146,1972-06-06,,"1420,1446",,Male,antoine bon
15435,Antoine Laurent Lavoisier,1743-08-26,318,1794-05-08,318,"1461,1645","""Father of modern chemistry""",Male,2495579
15525,Antoine Mechawar,1936-01-01,1324,1975-01-01,,"1399,1405,1479,1547,1560",,Male,
13835,Antoine Radé,,547,,547,1391,,Male,
15529,Antón Menchaca Careaga,1921-07-15,1326,2002-07-01,423,"1391,1590,1635,1657",,Male,32128980
15063,Anton Pavlovich Chekhov,1860-01-29,1066,1904-07-15,1067,"1408,1417",,Male,95216565
13735,Antonin Artaud,1896-09-04,253,1948-03-04,188,"1390,1392,1399,1401,1473",,Male,71386527
14053,Antonina Vallentin,1905-03-07,244,1905-05-10,318,1527,,Female,76379363
13788,Antonio Aita,1905-03-05,22,1905-05-19,22,"1390,1391,1415",Director of the PEN Club in Argentina,Male,59209740
13734,Antonio Buero Vallejo,1916-09-29,164,2000-04-29,247,1408,,Male,109520156
14027,Antonio Castro Leal,1896-03-02,386,1981-01-07,113,"1396,1414",,Male,56622388
15700,Antonio Dellepiane,1864-10-29,62,1939-07-22,62,"1391,1427,1429",,Male,47135277
15090,Antonio di Benedetto,1922-11-02,256,1986-10-10,62,"1391,1419",,Male,90678327
15150,Antonio Fernández Molina,1929-01-01,1111,2005-01-01,494,"1392,1399,1401,1404",,Male,79243247
15844,Antonio Fogazzaro,1842-03-25,865,1911-03-07,865,"1391,1407",Liberal catholicism,Male,39408145
14912,Antonio García Birlan,1891-05-26,980,1984-06-20,32,"1404,1419","En la Argentina trabajó para Editorial Americalee, dirigida por América Scarfó. Realizó una serie de antologías universales con títulos como Ciencia y filosofía, La religión, Progreso y evolución, El hombre y la mujer y La libertad.",Male,56159936
15224,Antonio Gilabert,1716-01-01,1160,1792-01-01,800,1436,,Male,902878
15275,Antonio Gramsci,1891-01-22,1175,1937-04-27,356,"1410,1416",,Male,44299576
14175,Antonio López Llausás,1905-03-02,32,1905-06-01,62,1455,,Male,170716796
15492,Antonio Machado,1875-07-26,417,1939-02-22,103,1399,,Male,7385547
14154,Antonio Marichalar,1893-09-03,232,1973-08-06,247,"1404,1409,1451",,Male,54283837
15605,Antonio Ortega,1903-11-13,926,1970-03-18,80,"1391,1417",,Male,54274415
15748,Antonio Pérez Valiente de Moctezuma,1895-04-13,159,1980-01-14,62,"1391,1393",,Male,20736279
13761,Aquiles Badi,1894-04-14,62,1976-05-08,62,1405,,Male,63670450
13842,Archibald James Rowan Hamilton,1877-09-30,597,1915-10-21,598,"1499,1593",,Male,
13756,Archibald MacLeish,1892-05-07,155,1982-04-20,50,"1391,1399",,Male,4926151
14989,Ariel Canzani D.,1928-10-15,62,1983-07-29,62,"1399,1419",,Male,8936524
14624,Armand Petitjean,1913-06-05,818,2003-07-17,819,"1391,1392,1410,1419,1455",,Male,90714553
15016,Armand-Augustin-Louis de Caulaincourt,1773-12-09,1038,1827-02-19,318,"1414,1499",,Male,68948049
14679,Armando Asti Vera,1914-06-25,62,1972-02-03,62,"1390,1410,1420",,Male,14595818
15693,Armando Cascella,1900-06-29,358,1971-12-01,358,"1391,1419",,Male,48932101
14980,Arnaldo Calveyra,1929-02-23,1021,2015-01-15,318,"1399,1407,1408",,Male,28253623
13720,Arnaldo Orfila Reynal,1905-03-11,217,1905-06-20,261,"1394,1455,1460,1461",,Male,41090823
13872,Arnaud Dandieu,1897-11-29,146,1933-08-06,146,1391,French,Male,68967957
15311,Arnold Hauser,1892-05-08,919,1978-01-28,61,"1391,1433,1439,1528",,Male,39378414
14534,Arnold J. Toynbee,1889-04-14,235,1975-10-22,493,"1391,1410,1420,1428,1451,1460",,Male,54154945
14147,Arnold Walter Lawrence,1900-05-02,313,1991-03-31,121,1420,,Male,97991219
14494,Arnoldo Fischer,,,,,1404,,Male,23155034
15557,Arsinoe Moratorio,1910-01-01,271,1994-01-01,,1399,,Female,72960559
15858,Artemio de Valle Arizpe,1884-01-25,1464,1961-11-15,261,"1391,1414,1427",,Male,27846182
15870,Arthur Conan Doyle,1859-05-22,652,1930-07-07,1471,"1391,1407,1466",,Male,65283845
13941,Arthur Koestler,1905-09-05,61,1983-03-01,235,"1400,1419",,Male,59084510
13738,Arthur Kutscher,1878-07-17,170,1960-08-29,283,"1420,1428,1451",,Male,77110847
15540,Arthur Miller,1915-10-17,299,2005-02-10,1287,"1392,1408",,Male,44302716
14394,Arthur Mizener,1907-09-03,630,1988-02-15,631,"1391,1420",,Male,108230775
15794,Arthur Rimbaud,1854-10-20,1424,1891-11-10,253,"1399,1671",,Male,7396281
14222,Arthur Stanley Eddington,1882-12-28,195,1944-11-22,74,"1485,1582,1583",,Male,24675918
15309,Arthur Woods Haslett,1910-01-01,669,1967-01-01,,"1419,1541",Scientific journalist; studied at Cambridge (BA in 1928),Male,313776359
15259,Arthur-Vincent Lourié,1892-05-01,371,1966-10-12,497,1411,,Male,47025937
13931,Arturo Aldunate Phillips,1902-02-09,401,1985-07-24,401,"1399,1459,1485,1519",,Male,16124358
14441,Arturo Barea,1897-09-20,29,1957-12-24,676,"1391,1419,1498",,Male,54280835
15690,Arturo Cancela,1892-02-25,62,1957-04-26,,"1391,1419,1439",,Male,78773042
15022,Arturo Cerretani,1907-10-31,62,1986-07-27,62,"1391,1418,1419",,Male,11333246
15040,Arturo Corcuera,1935-09-30,1056,2017-08-21,229,1399,,Male,66636616
15714,Arturo F. Gonzáles,1890-10-10,62,,,"1391,1420,1427",,Male,
15203,Arturo García Astrada,1925-04-08,110,2015-10-02,110,1420,,Male,68075706
15312,Arturo Havaux,,,,,1391,,Male,484145857125522922910
14824,Arturo Jacinto Álvarez,1921-01-01,62,2003-01-01,,"1390,1455","""Arturito""",Male,70948613
15729,Arturo Lorusso,1884-12-14,1399,1947-03-14,22,"1391,1408,1416,1466",,Male,101268051
15550,Arturo Monfort,,,,,,,Male,
14735,Arturo Montfort,,,,,1391,,Male,
15744,Arturo Orzábal Quintana,1892-03-22,62,1969-01-01,383,"1391,1404,1420",,Male,24989711
15734,Arturo S. Mom,1893-12-02,217,1965-12-12,62,"1418,1479",,Male,29449876
13952,Arturo Serrano Plaja,1909-05-05,384,1979-06-16,394,"1391,1399",,Male,29552167
15835,Arturo Torres Rioseco,1897-10-17,1445,1971-11-03,43,"1391,1409,1420,1439",,Male,64371362
15864,Arturo Uslar Pietri,1906-05-16,80,2001-02-26,80,"1396,1416,1451,1480",Television producer,Male,109504120
15771,Arturo Vázquez Cey,1888-01-01,62,1958-01-01,,"1392,1399,1429",,Male,87178919
15407,Aryeh Leon Kubovy,1896-11-02,1267,1966-05-16,191,"1414,1427",,Male,54481676
15718,Ataliva Herrera,1888-06-02,110,1953-01-01,110,"1391,1393,1399,1427,1460",,Male,56976669
15697,Atilio Chiappori,1880-06-07,62,1947-01-01,62,"1391,1433",,Male,4959550
15702,Atilio Dell'Oro Maini,1895-07-30,62,1974-06-15,62,1489,"""was a very conservative and nationalist lawyer with strong connections to the Catholic Church""(Joy Damousi, ‎Mariano Ben Plotkin, _Psychanalysis and Politics_, 157).",Male,34011090
14665,Attilio Dabini,1902-01-01,861,1981-01-01,,"1391,1404",,Male,9701677
13776,Attilio Rossi,1909-03-25,7,1905-06-16,264,"1405,1487",,Male,79401900
15795,August Strindberg,1849-01-22,428,1912-05-14,428,"1391,1392,1399,1405,1407,1408",,Male,54154627
13794,Auguste Vermeylen,1872-05-12,59,1945-01-10,448,"1391,1409",,Male,22946210
15685,Augusto Bunge,1877-04-25,22,1948-08-01,22,"1391,1416",,Male,52074889
14755,Augusto Frederico Schmidt,1906-04-18,353,1965-02-08,353,"1391,1399",,Male,52933179
13709,Augusto José Durelli,1910-04-30,62,2000-03-18,483,"1410,1429,1459",,Male,113939641
15699,Augusto Mario Delfino,1906-02-08,271,1961-06-22,62,1419,,Male,70436126
15043,Augusto Raúl Cortázar,1910-06-17,375,1974-09-16,62,"1420,1427,1460,1523",,Male,100170642
13950,Augusto Roa Bastos,1917-06-13,25,2005-04-26,25,"1407,1417",,Male,44304512
14218,Aurora Bernárdez,1920-02-23,62,2014-11-08,318,"1391,1404",,Female,59213158
14813,Aurora de Albornoz,1926-01-22,926,1990-06-06,247,"1391,1399,1409,1420",,Female,14784461
14100,Ava Lowle Willing (Lady Ribblesdale),1868-09-15,328,1958-06-09,250,1464,,Female,40909247
15039,B. Corbalán Pacheco,,,,,1391,,Male,
15307,B. H. Lidell Hart,1895-10-31,318,1970-01-29,1201,"1451,1499,1590",,Male,39389064
14250,B. R. Hopenhaym,,,,,,,,
14096,Baba de Faucigny-Lucinge,1902-10-10,235,1945-12-21,77,1546,,Female,316441599
14546,Baica Dávalos,1919-01-01,375,1983-01-01,80,1391,,Male,6963709
14708,Baldomero Fernández Moreno,1886-11-15,62,1950-06-07,62,"1399,1466",,Male,19686009
13805,Baldomero Sanín Cano,1905-02-03,354,1905-05-10,47,"1392,1419,1420,1456,1492",,Male,44331409
14922,Bart Bok,1906-04-28,989,1983-08-05,647,"1429,1483,1582",,Male,15574196
14758,Basilio Uribe,1916-07-08,62,1997-06-21,,"1391,1399",,Male,305847659
13839,Beatrice Kean Seymour,1886-09-01,95,1955-10-31,547,"1407,1417",,Female,62586312
15290,Beatriz Guido,1922-12-13,358,1988-03-04,247,"1407,1418",,Female,96097463
15472,Beatriz López Vargas,,22,,,"1391,1409,1420",,Female,
15368,Ben Jonson,1572-06-11,487,1637-08-06,235,"1391,1399,1408,1409,1473",,Male,292789691
13847,Benedetta Marinetti (née Cappa),1897-08-14,356,1977-05-15,464,1564,,Female,232907944
