Name,Birthdate,Deathdate,Notes,Sex,Viaf_id,Birthplace,Deathplace,Occupation
Marcelo Torcuato de Alvear,1868-10-04,1942-03-23,"""Victoria también había solicitado un subsidio a su amigo, el presidente Alvear, para financiar la venida de Ansermet y ayudar a la Asociación del Profesorado Orquestal"" (Sitman 83, note 52) ; President of Argentina",Male,50618680,"Buenos Aires, Argentina","Don Torcuato, Argentina",President
Amado Alonso,1896-09-13,1952-05-26,,Male,32110832,"Lerín, Spain","Arlington, Massachusetts","Philologist, Literary Critic"
Carlos Alberto Erro,1903-07-27,1968-08-04,,Male,55698183,"Gualeguaychú, Argentina","Buenos Aires, Argentina","Philosopher, Lawyer, Writer"
Ezequiel Martínez Estrada,1895-09-14,1964-11-04,president of the SADE from 1933-1934 & 1942-1946,Male,46755849,"San José de la Esquina, Argentina","Bahía Blanca, Argentina","Writer, Poet, Essayist, Literary Critic, Biographer, President"
Alberto Girri,1919-11-27,1991-11-16,,Male,32007181,"Buenos Aires, Argentina","Buenos Aires, Argentina",Poet
Fryda Schultz de Mantovani,1912-12-19,1978-04-10,,Female,119506515,"Morón, Buenos Aires, Argentina","Buenos Aires, Argentina","Researcher, Writer, Literary Critic, Teacher "
Juan José Castro,1895-03-07,1968-09-03,,Male,206271,"Avellaneda, Argentina","Buenos Aires, Argentina","Composer, Pianist, Violinist, Orchestral Director"
Julio E. Payró,1899-12-09,1905-05-24,,Male,40518362,"Buenos Aires, Argentina","Buenos Aires, Argentina","Painter, Essayist, Art Critic"
André Malraux,1901-11-03,1976-11-23,,Male,51692748,"Paris, France","Créteil, France","Novelist, Art Theorist, Minister of Cultural Affairs"
Walter Gropius,1883-05-18,1969-07-05,(founder of the Bauhaus School),Male,24663766,"Berlin, Germany","Boston, Massachusetts",Architect
Eugenio d'Ors,1881-09-28,1954-09-25,,Male,59077528,"Barcelona, Spain","Vilanova i la Geltrú, Spain","Writer, Essayist, Journalist, Philosopher, Art Critic"
Charles-Édouard Jeanneret (Le Corbusier),1887-10-06,1965-08-27,"dictaba una conferencia en Amigos del Arte durante su visita Buenos Aires, Argentina en 1929 ; Houghton Finding Aid",Male,56612471,"La Chaux-de-Fonds, Switzerland","Roquebrune-Cap-Martin, France","Architect, Designer, Painter, Urban Planner, Writer"
Benjamin Fondane,1898-11-14,1944-10-02,,Male,4929921,"Iasi, Romania","Auschwitz, Poland","Poet, Critic, Philosopher"
Lino Enea Spilimbergo,1896-08-12,1964-03-16,,Male,13362903,"Buenos Aires, Argentina","Unquillo, Argentina","Artist, Engraver, Painter"
Pablo Picasso,1881-10-25,1973-04-08,,Male,15873,"Málaga, Spain","Mougins, France","Painter, Sculptor, Printmaker, Ceramicist, Stage Designer, Poet, Playwright"
Héctor Basaldúa,1895-09-29,1976-02-21,,Male,32228358,"Pergamino, Buenos Aires, Argentina","Buenos Aires, Argentina","Painter, Printmaker, Lithographer, Stage Designer"
Emilio Pettoruti,1892-10-01,1971-10-16,,Male,10689075,"La Plata, Argentina","Paris, France",Painter
Leopoldo Marechal,1900-06-11,1970-06-26,,Male,46840730,"Buenos Aires, Argentina","Buenos Aires, Argentina",Writer
Vicente Huidobro,1893-01-10,1948-01-02,,Male,12329,"Santiago, Chile","Cartagena, Chile",Poet
Count Hermann Alexander von Keyserling,1880-07-20,1946-04-26,,Male,34458713,"Kõnnu, Estonia","Innsbruck, Austria",Philosopher
Jaime Mario Torres Bodet,1902-04-17,1974-05-13,,Male,59092222,"Mexico City, Mexico","Mexico City, Mexico","Politician, Writer"
Ramón Gómez de la Serna,1888-07-03,1963-01-12,,Male,68929740,"Madrid, Spain","Buenos Aires, Argentina","Writer, Dramatist"
Juan Marinello Vidaurreta,1898-11-02,1977-03-27,,Male,32020236,"Ranchuelo, Cuba","Havana, Cuba","Writer, Critic, Politician"
Ricardo E. Latcham,1869-05-05,1943-10-16,Folklore scholar,Male,55913494,"Bristol, United Kingdom","Santiago, Chile","Archaeologist, Ethnologist, Scholar, Teacher"
Alfred Métraux,1902-11-05,1963-04-12,,Male,2474265,"Lausanne, Switzerland","Vallée de Chevreuse, France","Anthropologist, Ethnologist, Human Rights Leader"
Gorham Munson,1896-05-26,1969-08-15,,Male,5305985,"Amityville, New York","Hartford, Connecticut",Literary Critic
Lewis Mumford,1895-10-19,1990-01-26,,Male,12312890,"Flushing, New York","Amenia, New York","Historian, Sociologist, Philosopher, Literary Critic"
Homero Mario Guglielmini,1903-08-08,1968-11-16,,Male,4504460,"Buenos Aires, Argentina","Mar del Plata, Argentina",Writer
José Luis Romero,1909-03-24,1977-02-28,,Male,68961451,"Buenos Aires, Argentina","Tokyo, Japan","Historian, Intellectual"
Enrique Anderson Imbert,1910-02-12,2000-12-06,,Male,59095797,"Córdoba, Argentina","Buenos Aires, Argentina","Novelist, Writer, Literary Critic, Teacher"
Germán Arciniegas,1900-12-06,1999-11-30,,Male,66462822,"Bogotá, Colombia","Bogotá, Colombia","Historian, Writer, Journalist"
Rául Arrarás Vergara,1929-11-09,2007-08-18,,Male,,Argentina,"Buenos Aires, Argentina",Economist
Francisco Ayala,1906-03-16,2009-11-03,,Male,110572828,"Granada, Spain","Madrid, Spain","Writer, Teacher"
Ricardo Baeza,1905-03-04,1956-02-03,,Male,13404577,"Bayamo, Cuba","Madrid, Spain","Writer, Poet, Translator, Ambassador, Editor, Essayist, Journalist"
Ana María Barrenechea,1913-03-06,2010-10-04,,Female,90721152,"Buenos Aires, Argentina","Buenos Aires, Argentina","Writer, Linguist, Literary Critic, Professor, Teacher"
Roger Caillois,1913-03-03,1978-12-21,,Male,92201126,"Reims, France","Paris, France","Intellectual, Literary Critic, Writer"
Bernardo Canal Feijóo,1897-07-23,1982-10-10,CHECK: trapalanda.bn.gov.ar,Male,117182921,"Santiago del Estero, Argentina","Buenos Aires, Argentina","Lawyer, Writer"
Patricio Armando Canto,,1905-06-11,brother of Estela Canto?? (https://www.clarin.com/cultura/estela-hermano-patricio-canto-literatura-izquierda_0_SJ-gkPASb.html); Patricio was friends with Silvina and it was through this friendship that Estela entered the SUR circle,Male,86637297,"Buenos Aires, Argentina",,"Philosopher, Translator, Writer"
Carlos Cossio,1903-02-03,1987-08-24,,Male,93230574,"San Miguel de Tucumán, Argentina","Buenos Aires, Argentina","University Reformer, Lawyer, Philosopher, Teacher"
Augusto José Durelli,1910-04-30,2000-03-18,,Male,113939641,"Buenos Aires, Argentina","Washington, DC","Civil Engineer, Teacher, Philosopher"
Vicente Fatone,1903-02-12,1962-12-11,,Male,3845763,"Buenos Aires, Argentina","Buenos Aires, Argentina",Philosopher
Eduardo González Lanuza,1900-07-11,1984-07-17,,Male,114082531,"Santander, Spain","Buenos Aires, Argentina",Poet
Allen Haden,,,US,,,,,Journalist
Lewis Hanke,1905-03-19,1993-03-26,Historian of Colonial Latin America,Male,108256647,"Oregon City, Oregon","Amherst, Massachusetts",Historian
Edith F. Helman,1905-09-19,1994-03-31,,Female,591764,"Boston, Massachusetts","Rockport, Massachusetts","Hispanist, Professor"
Paul Jourde,1905-03-26,,,Male,282516039,France,,Journalist
Eduardo Enrique Krapf,1905-03-15,1905-05-16,,Male,310715699,,,Psychiatrist
Susana Larguía,1898-02-22,,Victoria fundió la Unión de Mujeres Argentinas en 1936 con María Rosa Oliver y Susana Larguía,Female,,"Buenos Aires, Argentina",,Feminist
Lorenzo Luzuriaga,1889-10-29,1905-05-12,,Male,13106980,"Valdepeñas, Spain","Buenos Aires, Argentina",Teacher
Angélica Mendoza,1889-11-22,1960-02-05,,Female,245729534,"Mendoza, Argentina","Mendoza, Argentina","Philosopher, Anthropologist"
Arnaldo Orfila Reynal,1905-03-11,1905-06-20,,Male,41090823,"La Plata, Argentina","Mexico City, Mexico","Editor, Academic, Chemist, Publisher"
Margarita Sarfatti,1880-04-08,1961-10-30,Propaganda Adviser (National Fascit Party),Female,102330009,"Venice, Italy","Cavallasca, Italy","Socialite, Patron, Board Member"
Luis Emilio Soto,1905-03-16,1905-05-22,http://trapalanda.bn.gov.ar/jspui/handle/123456789/5683?page=2,Male,203079139,"Buenos Aires, Argentina","Buenos Aires, Argentina","Critic, Journalist"
Roberto García Pinto,1906-07-28,1991-09-02,,Male,1421698,"Salta, Argentina","Salta, Argentina","Doctor, Professor"
Carlos Astrada,1894-02-26,1970-12-23,,Male,9969745,"Córdoba, Argentina","Buenos Aires, Argentina",Philosopher
Celestino Gorostiza,1904-01-31,1967-01-11,,Male,56659772,"Villahermosa, Mexico","Mexico City, Mexico","Playwright, Director, Dramatist"
Charles Duff,1894-04-07,1966-10-15,,Male,111898910,"Enniskillen, United Kingdom",,"Author, Writer, Linguist, Professor"
Martin Heidegger,1889-09-26,1976-05-26,,Male,24602613,"Messkirch, Germany","Freiburg im Breisgau, Germany",Philosopher
Guillermo Giménez,,,,Male,,,,Writer
Herminia Hallam Hipwell,,,,Female,,,,Writer
Elías Castelnuovo,1893-08-06,1982-10-11,,Male,27984127,"Montevideo, Uruguay","Buenos Aires, Argentina","Poet, Essayist, Journalist"
Matilde Díaz Vélez,1899-07-02,1986-06-09,,Female,,"Buenos Aires, Argentina","Buenos Aires, Argentina","Philanthropist, Urbanist, Entrepreneur, Farm Worker "
María Reneé Cura,1905-04-10,2007-07-12,,Female,28455322,"Buenos Aires, Argentina",,"Geographer, Writer, Indologist, Professor"
Jorge Santayana,1863-12-16,1952-09-26,,Male,59098309,"Madrid, Spain","Rome, Italy","Philosopher, Essayist, Poet, Novelist"
Antonio Buero Vallejo,1916-09-29,2000-04-29,,Male,109520156,"Guadalajara, Spain","Madrid, Spain",Playwright
Antonin Artaud,1896-09-04,1948-03-04,,Male,71386527,"Marseille, France","Ivry-sur-Seine, France","Dramatist, Poet, Essayist, Actor, Director"
Julio Irazusta,1899-07-23,1982-05-05,,Male,28316693,"Gualeguaychú, Argentina","Gualeguaychú, Argentina","Writer, Politician"
Benjamin Jarnés,1888-10-07,1949-08-11,,Male,17339452,"Codo, Zaragoza, Spain","Madrid, Spain","Novelist, Essayist, Biographer"
Arthur Kutscher,1878-07-17,1960-08-29,,Male,77110847,"Hanover, Germany","Munich, Germany","Historian, Researcher, Professor"
Ricardo Güiraldes,1886-02-13,1927-10-08,,Male,34457726,"Buenos Aires, Argentina","Paris, France","Novelist, Poet"
Waldemar Bonsels,1880-02-21,1952-07-31,,Male,73850380,"Ahrensburg, Germany","Münsing, Germany",Writer
A. Rolland de Renéville,1903-07-08,1905-05-15,,Male,44316558,"Tours, France","Paris, France","Poet, Essayist"
Ernesto Palacio,1900-01-03,1979-01-03,,Male,94908879,"San Martín, Argentina","Buenos Aires, Argentina","Historian, Publisher"
Wladimiro Acosta,1900-06-23,1967-07-11,,Male,61192352,"Odessa, Ukraine","Buenos Aires, Argentina",Architect 
José Moreno Villa,1887-02-16,1955-04-25,,Male,47429,"Málaga, Spain",México,"Poet, Essayist, Literary Critic, Artist, Painter, Columnist, Researcher, Archivist, Librarian, Archaeologist"
Maurice Edgar Coindreau,1892-12-24,1990-10-20,,Male,56607570,"La Roche-sur-Yon, France","Val-de-Marne, France","Literary Critic, Translator"
Salvador de Madariaga,1886-07-23,1978-12-14,,Male,27077829,"La Coruña , Spain","Muralto, Switzerland","Diplomat, Writer, Historian, Pacifist"
Gervasio Guillot Muñoz,1897-09-27,1956-10-26,,Male,97873350,"Montevideo, Uruguay","Montevideo, Uruguay","Writer, Literary Critic"
Charles Baudouin,1893-07-23,1963-08-25,,Male,64001401,"Nancy, France","Geneva, Switzerland",Psychoanalyst
Luis Saslavsky,1903-04-21,1995-03-20,,Male,160851139,"Rosario, Argentina","Buenos Aires, Argentina","Film Director, Screenwriter, Producer"
Leopoldo Hurtado,1894-01-21,1980-02-07,Musicographer,Male,,"Posadas, Argentina","Buenos Aires, Argentina","Writer, Literary Critic"
Gerald Heard,1889-10-06,1971-08-14,,Male,45031451,"London, United Kingdom","Santa Monica, California","Historian, Science Writer, Lecturer, Professor, Philosopher"
Gustavo Pittaluga,1905-03-20,1905-05-28,,Male,120719760,"Madrid, Spain","Madrid, Spain","Composer, Conductor, Essayist"
Nicolás Berdiaeff,1874-03-18,1948-03-24,(Religious and Political),Male,36926249,"Obukhiv, Ukraine","Clamart, France",Philosopher
José Babini,1897-05-10,1984-05-18,Historian of Science ,Male,119488705,"Buenos Aires, Argentina","Buenos Aires, Argentina","Engineer, Mathematician, Historian"
Gaston Bachelard,1884-06-27,1962-10-16,,Male,4926151,"Bar-sur-Aube, France","Paris, France",Philosopher
Archibald MacLeish,1892-05-07,1982-04-20,,Male,4926151,"Glencoe, Illinois","Boston, Massachussets","Poet, Writer"
Horacio Linares (Alberto Prebisch),1899-02-01,1970-10-13,,Male,96554966,"Buenos Aires, Argentina","Buenos Aires, Argentina",Architect
Jorge Romero Brest,1905-10-02,1989-02-12,,Male,19686764,"Buenos Aires, Argentina","Buenos Aires, Argentina",Art Critic
Valery Larbaud,1881-08-29,1957-02-02,,Male,13334,"Vichy, France","Vichy, France",Writer
Raúl Soldi,1905-03-27,1994-04-21,,Male,59171671,"Buenos Aires, Argentina","Buenos Aires, Argentina",Painter
Aquiles Badi,1894-04-14,1976-05-08,,Male,63670450,"Buenos Aires, Argentina","Buenos Aires, Argentina",Painter
Leon Chestov,1866-02-12,1938-11-19,,Male,36916319,"Kiev, Ukraine","Paris, France",Philosopher
Angel J. Battistessa,1902-08-17,1993-10-26,,Male,19709928,"Buenos Aires, Argentina","Kharkiv, Ukraine","Philologist, Translator, Professor"
Rafael Alberti,1902-12-16,1999-10-28,,Male,51683733,El Puerto de Santa María,El Puerto de Santa María,Poet
Paul Valéry,1871-10-30,1945-07-20,,Male,61553403,"Sète, France","Paris, France","Poet, Essayist, Philosopher"
Vita (Victoria) Sackville-West,1892-03-09,1962-06-02,,Female,22148366,"Knole House, United Kingdom","Sissinghurst Castle Garden, United Kingdom","Poet, Novelist, Garden Designer"
Jean Paulhan,1884-12-02,1968-10-09,,Male,12313345,"Nîmes, France","Neuilly-sur-Seine, France","Writer, Literary Critic, Publisher, Director"
Emilio Ballagas,1908-11-07,1954-09-11,,Male,49966254,"Camagüey, Cuba","Havana, Cuba","Poet, Essayist"
Angel Vassallo,1902-05-16,1978-08-23,,Male,46907736,"San Tammaro, Argentina","Buenos Aires, Argentina",Philosopher
Rafael Dieste,1905-03-13,1905-06-03,,Male,94753204,"Rianxo, Spain","Santiago de Compostela, Spain","Poet, Philosopher, Writer, Dramatist"
Franz Werfel,1890-09-10,1945-08-26,,Male,34464361,"Prague, Czech Republic","Beverly Hills, California","Novelist, Playwright, Poet"
Rosa Chacel,1898-06-03,1994-07-27,,Female,111966111,"Valladolid, Spain","Madrid, Spain","Writer, Novelist, Essayist, Poet"
Miguel Ángel Virasoro,1905-03-14,1966-06-29,,Male,77964401,"Santa Fe, Argentina","Buenos Aires, Argentina",Philosopher
Lisardo Zía,1905-03-14,1905-05-28,,Male,,"Rosario-Santa Fe, Argentina","Buenos Aires, Argentina",Poet
Alberto Sartoris,1901-02-02,1998-03-08,,Male,117576649,"Torino, Italy","Pompaples, Switzerland",Architect
Attilio Rossi,1909-03-25,1905-06-16,,Male,79401900,"Albairate, Italy","Milan, Italy","Painter, Graphic Artist"
Louis Ollivier,1905-04-17,,,Male,56710397,France,,"Author, Editor, Translator, Composer, Illustrator"
Honorio Siccardi,1897-09-13,1963-09-10,,Male,11861619,"Buenos Aires, Argentina","Lomas de Zamora, Argentina",Composer
María Rosa González,,,,,,,,Writer
V. I. Ivánov,1866-02-28,1949-07-16,,Male,68930563,"Moscow, Russia","Rome, Italy","Poet, Philosopher, Playwright"
Alvaro Guillot Muñoz,1897-09-27,1905-05-24,,Male,97873345,"Montevideo, Uruguay",,"Writer, Poet"
Jacques Maritain,1882-11-18,1973-04-28,,Male,7393855,"Paris, France","Toulouse, Italy",Philosopher
Ramón Doll,1896-09-12,1905-05-23,,Male,309676684,"La Plata, Argentina",,"Lawyer, Journalist, Writer, Essayist"
Ignacio B. Anzoátegui,1905-07-25,1978-04-02,,Male,117703141,"La Plata, Argentina","Buenos Aires, Argentina","Essayist, Journalist"
Carlos Ibarguren,1877-04-18,1956-04-03,Expert on Constitutional Law,Male,34829990,"Salta, Argentina","Buenos Aires, Argentina","Academic, Historian, Politician"
Manuel Gálvez,1882-07-18,1962-11-14,,Male,22213019,"Paraná, Argentina","Buenos Aires, Argentina","Novelist, Poet, Essayist, Historian, Biographer"
Juan Pablo Echagüe,1875-11-16,1950-09-05,PhD in History,Male,1128553,"San Juan, Puerto Rico","Buenos Aires, Argentina","Writer, Journalist, Historian"
Antonio Aita,1905-03-05,1905-05-19,Director of the PEN Club in Argentina,Male,59209740,Argentina,Argentina,"Writer, Educator, Director"
Raoul Auernheimer,1876-04-15,1948-01-06,,Male,44319718,"Vienna, Austria","Oakland, California","Jurist, Writer"
Stefan Zweig,1881-11-28,1942-02-22,,Male,19685936,"Vienna, Austria","Petrópolis, Brazil","Novelist, Playwright, Journalist, Biographer"
Ruth Bedford,1882-08-02,1963-07-24,,Female,91538437,"Petersham, Australia","Paddington, Australia","Poet, Playwright, Writer"
Louis Piérard,1886-02-07,1951-11-03,,Male,41882487,"Frameries, Belgium","Paris, France","Writer, Journalist"
Lucien-Paul Thomas,1880-12-25,1948-02-03,,Male,5038838,"Liège, Belgium","Uccle, Belgium","Hispanist, Academic, Professor, Philologist"
Auguste Vermeylen,1872-05-12,1945-01-10,,Male,22946210,"Brussels, Belgium","Uccle, Belgium","Writer, Literary Critic"
Ernest Claes,1885-10-24,1968-09-02,,Male,71399529,"Zichem, Belgium","Ixelles, Belgium","Author, Novelist"
Henri Michaux,1899-05-24,1984-10-19,,Male,54151507,"Namur, Belgium","Paris, France","Poet, Writer, Painter"
Juan Francisco Bedregal,1905-02-25,1905-04-27,,Male,26060018,"La Paz, Bolivia","Cochabamba, Bolivia","Writer, Jurist, Essayist, Poet, Short Story Writer, Educator"
Alcides Arguedas,1879-07-15,1946-05-06,,Male,17262962,"La Paz, Bolivia","Chulumani, Bolivia","Writer, Historian"
Gregorio Reinolds,1882-11-06,1948-06-13,,Male,,"Sucre, Bolivia","La Paz, Bolivia","Poet, Diplomat, Translator"
Claudio de Souza,1876-10-20,1954-06-28,,Male,70039875,"São Roque, Brazil","Rio de Janeiro, Brazil","Doctor, Writer, Dramatist"
Christovam de Camargo,1905-03-06,,,Male,60631655,"São Paulo, Brazil",,"Journalist, Poet, Writer"
Afranio Peixoto,1876-12-17,1947-01-12,President of a University,Male,51728163,"Leçóis, Brazil","Rio de Janeiro, Brazil","Physician, Writer, Politician, Historian, Eugenicist, President"
Svetoslav Minkoff,1905-03-16,1905-05-19,,Male,32079699,Bulgaria,Bulgaria,Author
Víctor Barbeau,1896-08-18,1994-07-19,,Male,100193815,"Montreal, Canada","Montreal, Canada","Writer, Academic, Professor"
B. Sanín Cano,1905-02-03,1905-05-10,,Male,44331409,"Rionegro, Colombia","Bogotá, Colombia","Essayist, Journalist, Linguist, Humanist, Professor"
Daniel Arias Argáez,1905-02-11,1905-05-04,,Male,,"Bogotá, Colombia",,"Writer, Journalist, Politician"
María Flora Yáñez de Echeverría,1905-03-12,1982-04-07,,Female,11176452,"Santiago de Chile, Chile","Santiago, Chile",Writer
Mariano Latorre,1886-01-04,1955-11-10,,Male,39399454,"Cobquecura, Chile","Santiago, Chile",Writer
Mohamed Abbad,,,EGYPT,Male,,,,Egyptian Delegate
William James Entwistle,1895-12-07,1952-06-13,,Male,69056978,"Anhui, China","Oxford, United Kingdom","Hispanist, Professor"
Ida Hayward,1905-02-14,1905-05-02,,Female,283928081,"Trowbridge, Wiltshire, United Kingdom","Galashiels, Scotland","Botonist, Writer"
Magie T. Brown,,,,Female,,,,Writer
Mrs. William James Entwistle,,,,Female,,,,Writer
Enrique Díez-Canedo,1879-01-07,1944-06-07,,Male,59091986,"Badajoz, Spain",Mexico,"Poet, Translator, Literary Critic"
Melchor de Almagro San Martín,1882-04-12,1947-04-12,,Male,100233444,"Granada, Spain","Madrid, Spain","Writer, Diplomat, Politician"
